TIME,NIC:1,NIA:1,NIE:1
0,0.00003678,0.00257467,0.00147533
0.1,0.00003795,0.0026564,0.00152216
0.2,0.00003915,0.00274072,0.00157048
0.3,0.0000404,0.00282772,0.00162033
0.4,0.00004168,0.00291748,0.00167176
0.5,0.000043,0.00301009,0.00172483
0.6,0.00004437,0.00310564,0.00177958
0.7,0.00004577,0.00320423,0.00183607
0.8,0.00004723,0.00330594,0.00189436
0.9,0.00004873,0.00341088,0.00195449
1,0.00005027,0.00351916,0.00201653
1.1,0.00005187,0.00363087,0.00208054
1.2,0.00005352,0.00374612,0.00214659
1.3,0.00005521,0.00386504,0.00221473
1.4,0.00005697,0.00398773,0.00228503
1.5,0.00005878,0.00411431,0.00235757
1.6,0.00006064,0.00424491,0.0024324
1.7,0.00006257,0.00437966,0.00250962
1.8,0.00006455,0.00451869,0.00258928
1.9,0.0000666,0.00466212,0.00267147
2,0.00006872,0.00481012,0.00275627
2.1,0.0000709,0.00496281,0.00284377
2.2,0.00007315,0.00512034,0.00293404
2.3,0.00007547,0.00528288,0.00302717
2.4,0.00007787,0.00545057,0.00312327
2.5,0.00008034,0.00562359,0.00322241
2.6,0.00008289,0.00580211,0.0033247
2.7,0.00008552,0.00598628,0.00343024
2.8,0.00008823,0.00617631,0.00353912
2.9,0.00009103,0.00637237,0.00365147
3,0.00009392,0.00657465,0.00376738
3.1,0.00009691,0.00678335,0.00388697
3.2,0.00009998,0.00699868,0.00401035
3.3,0.00010315,0.00722084,0.00413765
3.4,0.00010643,0.00745005,0.004269
3.5,0.00010981,0.00768654,0.00440451
3.6,0.00011329,0.00793054,0.00454432
3.7,0.00011689,0.00818228,0.00468858
3.8,0.0001206,0.00844201,0.00483741
3.9,0.00012443,0.00870999,0.00499096
4,0.00012838,0.00898647,0.00514939
4.1,0.00013245,0.00927174,0.00531285
4.2,0.00013666,0.00956605,0.0054815
4.3,0.000141,0.00986971,0.0056555
4.4,0.00014547,0.01018301,0.00583503
4.5,0.00015009,0.01050625,0.00602025
4.6,0.00015485,0.01083975,0.00621135
4.7,0.00015977,0.01118384,0.00640852
4.8,0.00016484,0.01153886,0.00661195
4.9,0.00017007,0.01190514,0.00682183
5,0.00017547,0.01228305,0.00703838
5.1,0.00018104,0.01267295,0.0072618
5.2,0.00018679,0.01307524,0.00749232
5.3,0.00019272,0.01349029,0.00773015
5.4,0.00019884,0.01391851,0.00797553
5.5,0.00020515,0.01436033,0.0082287
5.6,0.00021166,0.01481618,0.00848991
5.7,0.00021838,0.01528649,0.0087594
5.8,0.00022531,0.01577174,0.00903746
5.9,0.00023246,0.01627239,0.00932434
6,0.00023984,0.01678893,0.00962032
6.1,0.00024746,0.01732186,0.0099257
