TIME,N_0:1,N_2:1,N_8:1
0,0.52083333,0.52083333,0.52083333
0.1,0.53736635,0.53736635,0.53736635
0.2,0.55442419,0.55442419,0.55442419
0.3,0.5720235,0.5720235,0.5720235
0.4,0.59018148,0.59018148,0.59018148
0.5,0.60891585,0.60891585,0.60891585
0.6,0.62824491,0.62824491,0.62824491
0.7,0.64818754,0.64818754,0.64818754
0.8,0.66876323,0.66876323,0.66876323
0.9,0.68999205,0.68999205,0.68999205
1,0.71189475,0.71189475,0.71189475
1.1,0.73449271,0.73449271,0.73449271
1.2,0.75780801,0.75780801,0.75780801
1.3,0.78186342,0.78186342,0.78186342
1.4,0.80668242,0.80668242,0.80668242
1.5,0.83228927,0.83228927,0.83228927
1.6,0.85870897,0.85870897,0.85870897
1.7,0.88596731,0.88596731,0.88596731
1.8,0.91409093,0.91409093,0.91409093
1.9,0.94310729,0.94310729,0.94310729
2,0.97304473,0.97304473,0.97304473
2.1,1.00393248,1.00393248,1.00393248
2.2,1.03580072,1.03580072,1.03580072
2.3,1.06868056,1.06868056,1.06868056
2.4,1.10260412,1.10260412,1.10260412
2.5,1.13760453,1.13760453,1.13760453
2.6,1.17371597,1.17371597,1.17371597
2.7,1.21097371,1.21097371,1.21097371
2.8,1.24941414,1.24941414,1.24941414
2.9,1.2890748,1.2890748,1.2890748
3,1.32999442,1.32999442,1.32999442
3.1,1.37221297,1.37221297,1.37221297
3.2,1.41577168,1.41577168,1.41577168
3.3,1.46071309,1.46071309,1.46071309
3.4,1.5070811,1.5070811,1.5070811
3.5,1.55492098,1.55492098,1.55492098
3.6,1.60427947,1.60427947,1.60427947
3.7,1.65520476,1.65520476,1.65520476
3.8,1.70774659,1.70774659,1.70774659
3.9,1.76195628,1.76195628,1.76195628
4,1.81788677,1.81788677,1.81788677
4.1,1.87559268,1.87559268,1.87559268
4.2,1.93513038,1.93513038,1.93513038
4.3,1.996558,1.996558,1.996558
4.4,2.05993554,2.05993554,2.05993554
4.5,2.12532491,2.12532491,2.12532491
4.6,2.19278995,2.19278995,2.19278995
4.7,2.26239656,2.26239656,2.26239656
4.8,2.33421273,2.33421273,2.33421273
4.9,2.40830858,2.40830858,2.40830858
5,2.48475649,2.48475649,2.48475649
5.1,2.56363111,2.56363111,2.56363111
5.2,2.64500948,2.64500948,2.64500948
5.3,2.72897108,2.72897108,2.72897108
5.4,2.8155979,2.8155979,2.8155979
5.5,2.90497455,2.90497455,2.90497455
5.6,2.99718832,2.99718832,2.99718832
5.7,3.09232927,3.09232927,3.09232927
5.8,3.19049032,3.19049032,3.19049032
5.9,3.29176732,3.29176732,3.29176732
6,3.39625921,3.39625921,3.39625921
6.1,3.50406802,3.50406802,3.50406802
6.2,3.61529905,3.61529905,3.61529905
6.3,3.73006093,3.73006093,3.73006093
6.4,3.84846574,3.84846574,3.84846574
6.5,3.97062912,3.97062912,3.97062912
6.6,4.09667038,4.09667038,4.09667038
6.7,4.22671261,4.22671261,4.22671261
6.8,4.36088283,4.36088283,4.36088283
6.9,4.49931207,4.49931207,4.49931207
7,4.64213551,4.64213551,4.64213551
7.1,4.78949266,4.78949266,4.78949266
7.2,4.94152742,4.94152742,4.94152742
7.3,5.09838828,5.09838828,5.09838828
7.4,5.26022843,5.26022843,5.26022843
7.5,5.42720594,5.42720594,5.42720594
7.6,5.59948387,5.59948387,5.59948387
7.7,5.77723049,5.77723049,5.77723049
7.8,5.96061939,5.96061939,5.96061939
7.9,6.14982968,6.14982968,6.14982968
8,6.34504613,6.34504613,6.34504613
8.1,6.54645942,6.54645942,6.54645942
8.2,6.75426624,6.75426624,6.75426624
8.3,6.96866955,6.96866955,6.96866955
8.4,7.18987875,7.18987875,7.18987875
8.5,7.41810987,7.41810987,7.41810987
8.6,7.65358582,7.65358582,7.65358582
8.7,7.89653657,7.89653657,7.89653657
8.8,8.14719939,8.14719939,8.14719939
8.9,8.4058191,8.4058191,8.4058191
9,8.67264827,8.67264827,8.67264827
9.1,8.94794749,8.94794749,8.94794749
9.2,9.23198563,9.23198563,9.23198563
9.3,9.52504011,9.52504011,9.52504011
9.4,9.82739711,9.82739711,9.82739711
9.5,10.13935194,10.13935194,10.13935194
9.6,10.46120927,10.46120927,10.46120927
9.7,10.79328343,10.79328343,10.79328343
9.8,11.13589873,11.13589873,11.13589873
9.9,11.4893898,11.4893898,11.4893898
10,11.85410185,11.85410185,11.85410185
10.1,12.23039109,12.23039109,12.23039109
10.2,12.61862501,12.61862501,12.61862501
10.3,13.01918277,13.01918277,13.01918277
10.4,13.43245557,13.43245557,13.43245557
10.5,13.85884703,13.85884703,13.85884703
10.6,14.29877359,14.29877359,14.29877359
10.7,14.75266488,14.75266488,14.75266488
10.8,15.22096419,15.22096419,15.22096419
10.9,15.70412888,15.70412888,15.70412888
11,16.20263083,16.20263083,16.20263083
11.1,16.7169569,16.7169569,16.7169569
11.2,17.24760938,17.24760938,17.24760938
11.3,17.79510653,17.79510653,17.79510653
11.4,18.35998307,18.35998307,18.35998307
11.5,18.94279065,18.94279065,18.94279065
11.6,19.54409849,19.54409849,19.54409849
11.7,20.16449382,20.16449382,20.16449382
11.8,20.80458256,20.80458256,20.80458256
11.9,21.46498982,21.46498982,21.46498982
12,22.1463606,22.1463606,22.1463606
12.1,22.84936033,22.84936033,22.84936033
12.2,23.57467559,23.57467559,23.57467559
12.3,24.32301475,24.32301475,24.32301475
12.4,25.09510865,25.09510865,25.09510865
12.5,25.89171134,25.89171134,25.89171134
12.6,26.71360082,26.71360082,26.71360082
12.7,27.56157977,27.56157977,27.56157977
12.8,28.43647634,28.43647634,28.43647634
12.9,29.33914499,29.33914499,29.33914499
13,30.27046729,30.27046729,30.27046729
13.1,31.23135279,31.23135279,31.23135279
13.2,32.22273993,32.22273993,32.22273993
13.3,33.24559691,33.24559691,33.24559691
13.4,34.3009227,34.3009227,34.3009227
13.5,35.38974794,35.38974794,35.38974794
13.6,36.51313602,36.51313602,36.51313602
13.7,37.67218407,37.67218407,37.67218407
13.8,38.86802403,38.86802403,38.86802403
13.9,40.10182381,40.10182381,40.10182381
14,41.37478835,41.37478835,41.37478835
14.1,42.68816086,42.68816086,42.68816086
14.2,44.04322402,44.04322402,44.04322402
14.3,45.44130121,45.44130121,45.44130121
14.4,46.88375782,46.88375782,46.88375782
14.5,48.37200259,48.37200259,48.37200259
14.6,49.90748896,49.90748896,49.90748896
14.7,51.49171654,51.49171654,51.49171654
14.8,53.12623249,53.12623249,53.12623249
14.9,54.81263312,54.81263312,54.81263312
15,56.55256541,56.55256541,56.55256541
15.1,58.34772859,58.34772859,58.34772859
15.2,60.19987586,60.19987586,60.19987586
15.3,62.11081604,62.11081604,62.11081604
15.4,64.0824154,64.0824154,64.0824154
15.5,66.11659942,66.11659942,66.11659942
15.6,68.21535471,68.21535471,68.21535471
15.7,70.38073095,70.38073095,70.38073095
15.8,72.61484287,72.61484287,72.61484287
15.9,74.91987231,74.91987231,74.91987231
16,77.2980704,77.2980704,77.2980704
16.1,79.7517597,79.7517597,79.7517597
16.2,82.2833365,82.2833365,82.2833365
