TIME,I_8:1,I_7:1,I_grad:1
0,1,1,1
0.1,1.03174341,1.03174341,1.03174341
0.2,1.06449446,1.06449446,1.06449447
0.3,1.09828514,1.09828514,1.09828515
0.4,1.13314845,1.13314845,1.13314847
0.5,1.16911844,1.16911844,1.16911846
0.6,1.20623024,1.20623024,1.20623027
0.7,1.2445201,1.2445201,1.24452013
0.8,1.28402541,1.28402541,1.28402545
0.9,1.32478475,1.32478475,1.3247848
1,1.36683793,1.36683793,1.36683798
1.1,1.41022602,1.41022602,1.41022608
1.2,1.4549914,1.4549914,1.45499147
1.3,1.50117778,1.50117778,1.50117786
1.4,1.54883028,1.54883028,1.54883036
1.5,1.59799543,1.59799543,1.59799552
1.6,1.64872125,1.64872125,1.64872135
1.7,1.70105728,1.70105728,1.70105739
1.8,1.75505463,1.75505463,1.75505475
1.9,1.81076604,1.81076604,1.81076617
2,1.86824592,1.86824592,1.86824607
2.1,1.92755041,1.92755041,1.92755057
2.2,1.98873743,1.98873743,1.98873759
2.3,2.05186672,2.05186672,2.05186691
2.4,2.11699996,2.11699996,2.11700016
2.5,2.18420075,2.18420075,2.18420096
2.6,2.25353472,2.25353472,2.25353495
2.7,2.32506959,2.32506959,2.32506983
2.8,2.39887522,2.39887522,2.39887548
2.9,2.47502369,2.47502369,2.47502396
3,2.55358937,2.55358937,2.55358966
3.1,2.63464899,2.63464899,2.63464931
3.2,2.71828172,2.71828172,2.71828206
3.3,2.80456924,2.80456924,2.8045696
3.4,2.89359582,2.89359582,2.8935962
3.5,2.9854484,2.9854484,2.98544881
3.6,3.0802167,3.0802167,3.08021713
3.7,3.17799327,3.17799327,3.17799372
3.8,3.2788736,3.2788736,3.27887408
3.9,3.38295621,3.38295621,3.38295672
4,3.49034276,3.49034276,3.4903433
4.1,3.60113812,3.60113812,3.60113869
4.2,3.7154505,3.7154505,3.71545111
4.3,3.83339155,3.83339155,3.83339219
4.4,3.95507645,3.95507645,3.95507712
4.5,4.08062404,4.08062404,4.08062475
4.6,4.21015694,4.21015694,4.21015769
4.7,4.34380166,4.34380166,4.34380244
4.8,4.48168871,4.48168871,4.48168954
4.9,4.62395276,4.62395276,4.62395364
5,4.77073276,4.77073276,4.77073368
5.1,4.92217206,4.92217206,4.92217303
5.2,5.07841855,5.07841855,5.07841957
5.3,5.23962484,5.23962484,5.23962591
5.4,5.40594837,5.40594837,5.40594949
5.5,5.57755156,5.57755156,5.57755275
5.6,5.75460203,5.75460203,5.75460328
5.7,5.93727268,5.93727268,5.93727399
5.8,6.12574192,6.12574192,6.12574329
5.9,6.32019381,6.32019381,6.32019525
6,6.52081827,6.52081827,6.52081978
6.1,6.72781123,6.72781123,6.72781281
6.2,6.94137485,6.94137485,6.94137651
6.3,7.1617177,7.1617177,7.16171944
6.4,7.38905498,7.38905498,7.38905681
6.5,7.62360872,7.62360872,7.62361063
6.6,7.86560799,7.86560799,7.86561
6.7,8.11528914,8.11528914,8.11529124
6.8,8.37289602,8.37289602,8.37289822
6.9,8.63868021,8.63868021,8.63868252
7,8.9129013,8.9129013,8.91290371
7.1,9.1958271,9.1958271,9.19582962
7.2,9.48773392,9.48773392,9.48773655
7.3,9.78890685,9.78890685,9.78890961
7.4,10.09964003,10.09964003,10.09964292
7.5,10.42023694,10.42023694,10.42023995
7.6,10.75101068,10.75101068,10.75101383
7.7,11.0922843,11.0922843,11.0922876
7.8,11.4443911,11.4443911,11.44439455
