TIME,I_8:1,I_65:1
0,1,1
0.1,1.03174341,1.03174341
0.2,1.06449446,1.06449446
0.3,1.09828514,1.09828514
0.4,1.13314845,1.13314845
0.5,1.16911844,1.16911844
0.6,1.20623024,1.20623024
0.7,1.2445201,1.2445201
0.8,1.28402541,1.28402541
0.9,1.32478475,1.32478475
1,1.36683793,1.36683793
1.1,1.41022602,1.41022602
1.2,1.4549914,1.4549914
1.3,1.50117778,1.50117778
1.4,1.54883028,1.54883028
1.5,1.59799543,1.59799543
1.6,1.64872125,1.64872125
1.7,1.70105728,1.70105728
1.8,1.75505463,1.75505463
1.9,1.81076604,1.81076604
2,1.86824592,1.86824592
2.1,1.92755041,1.92755041
2.2,1.98873743,1.98873743
2.3,2.05186672,2.05186672
2.4,2.11699996,2.11699996
2.5,2.18420075,2.18420075
2.6,2.25353472,2.25353472
2.7,2.32506959,2.32506959
2.8,2.39887522,2.39887522
2.9,2.47502369,2.47502369
3,2.55358937,2.55358937
3.1,2.63464899,2.63464899
3.2,2.71828172,2.71828172
3.3,2.80456924,2.80456924
3.4,2.89359582,2.89359582
3.5,2.9854484,2.9854484
3.6,3.0802167,3.0802167
3.7,3.17799327,3.17799327
3.8,3.2788736,3.2788736
3.9,3.38295621,3.38295621
4,3.49034276,3.49034276
4.1,3.60113812,3.60113812
4.2,3.7154505,3.7154505
4.3,3.83339155,3.83339155
4.4,3.95507645,3.95507645
4.5,4.08062404,4.08062404
4.6,4.21015694,4.21015694
4.7,4.34380166,4.34380166
4.8,4.48168871,4.48168871
4.9,4.62395276,4.62395276
5,4.77073276,4.77073276
5.1,4.92217206,4.92217206
5.2,5.07841855,5.07841855
5.3,5.23962484,5.23962484
5.4,5.40594837,5.40594837
5.5,5.57755156,5.57755156
5.6,5.75460203,5.75460203
5.7,5.93727268,5.93727268
5.8,6.12574192,6.12574192
5.9,6.32019381,6.32019381
6,6.52081827,6.52081827
6.1,6.72781123,6.72781123
6.2,6.94137485,6.94137485
6.3,7.1617177,7.1617177
6.4,7.38905498,7.38905498
6.5,7.62360872,7.62360872
6.6,7.86560799,7.86560799
6.7,8.11528914,8.11528914
6.8,8.37289602,8.37289602
6.9,8.63868021,8.63868021
7,8.9129013,8.9129013
7.1,9.1958271,9.1958271
7.2,9.48773392,9.48773392
7.3,9.78890685,9.78890685
7.4,10.09964003,10.09964003
7.5,10.42023694,10.42023694
7.6,10.75101068,10.75101068
7.7,11.0922843,11.0922843
7.8,11.4443911,11.4443911
7.9,11.80767497,11.80767497
8,12.18249069,12.18249069
8.1,12.56920434,12.56920434
8.2,12.96819359,12.96819359
8.3,13.37984811,13.37984811
8.4,13.80456994,13.80456994
8.5,14.24277387,14.24277387
8.6,14.69488788,14.69488788
8.7,15.16135352,15.16135352
8.8,15.64262636,15.64262636
8.9,16.13917643,16.13917643
9,16.65148867,16.65148867
9.1,17.18006344,17.18006344
9.2,17.72541696,17.72541696
9.3,18.28808184,18.28808184
9.4,18.86860761,18.86860761
9.5,19.46756122,19.46756122
9.6,20.08552764,20.08552764
9.7,20.72311041,20.72311041
9.8,21.3809322,21.3809322
9.9,22.05963548,22.05963548
10,22.75988308,22.75988308
10.1,23.48235891,23.48235891
10.2,24.22776855,24.22776855
10.3,24.99684001,24.99684001
10.4,25.79032439,25.79032439
10.5,26.60899663,26.60899663
10.6,27.45365628,27.45365628
10.7,28.32512827,28.32512827
10.8,29.22426372,29.22426372
10.9,30.15194074,30.15194074
11,31.10906535,31.10906535
11.1,32.09657231,32.09657231
11.2,33.11542605,33.11542605
11.3,34.16662163,34.16662163
11.4,35.25118568,35.25118568
11.5,36.37017743,36.37017743
11.6,37.52468973,37.52468973
11.7,38.71585011,38.71585011
11.8,39.94482191,39.94482191
11.9,41.21280538,41.21280538
12,42.52103888,42.52103888
12.1,43.87080009,43.87080009
12.2,45.26340722,45.26340722
12.3,46.70022035,46.70022035
12.4,48.18264271,48.18264271
12.5,49.7121221,49.7121221
12.6,51.29015225,51.29015225
12.7,52.91827433,52.91827433
12.8,54.59807842,54.59807842
12.9,56.33120506,56.33120506
13,58.1193469,58.1193469
13.1,59.96425028,59.96425028
13.2,61.86771701,61.86771701
13.3,63.83160607,63.83160607
13.4,65.85783546,65.85783546
13.5,67.94838407,67.94838407
13.6,70.10529358,70.10529358
13.7,72.33067051,72.33067051
13.8,74.62668823,74.62668823
13.9,76.99558911,76.99558911
14,79.43968668,79.43968668
14.1,81.96136792,81.96136792
14.2,84.5630956,84.5630956
14.3,87.24741062,87.24741062
14.4,90.01693458,90.01693458
14.5,92.87437226,92.87437226
14.6,95.82251434,95.82251434
14.7,98.86424003,98.86424003
14.8,102.00251999,102.00251999
14.9,105.24041914,105.24041914
15,108.58109969,108.58109969
15.1,112.02782426,112.02782426
15.2,115.58395899,115.58395899
15.3,119.2529769,119.2529769
15.4,123.03846124,123.03846124
15.5,126.94410901,126.94410901
15.6,130.97373456,130.97373456
15.7,135.13127332,135.13127332
15.8,139.42078563,139.42078563
15.9,143.84646072,143.84646072
16,148.41262081,148.41262081
16.1,153.12372529,153.12372529
16.2,157.98437514,157.98437514
16.3,162.99931735,162.99931735
16.4,168.17344962,168.17344962
16.5,173.51182508,173.51182508
16.6,179.0196573,179.0196573
16.7,184.70232531,184.70232531
16.8,190.5653789,190.5653789
16.9,196.614544,196.614544
17,202.85572832,202.85572832
17.1,209.29502708,209.29502708
17.2,215.93872898,215.93872898
17.3,222.79332233,222.79332233
17.4,229.86550139,229.86550139
17.5,237.16217293,237.16217293
17.6,244.69046293,244.69046293
17.7,252.45772356,252.45772356
17.8,260.4715404,260.4715404
17.9,268.73973976,268.73973976
18,277.2703964,277.2703964
18.1,286.07184138,286.07184138
18.2,295.1526702,295.1526702
18.3,304.5217512,304.5217512
18.4,314.18823422,314.18823422
18.5,324.1615595,324.1615595
18.6,334.45146695,334.45146695
18.7,345.06800565,345.06800565
18.8,356.02154363,356.02154363
18.9,367.322778,367.322778
19,378.98274546,378.98274546
19.1,391.01283296,391.01283296
19.2,403.42478894,403.42478894
19.3,416.23073472,416.23073472
19.4,429.44317636,429.44317636
19.5,443.07501687,443.07501687
19.6,457.13956883,457.13956883
19.7,471.65056734,471.65056734
19.8,486.62218349,486.62218349
19.9,502.06903813,502.06903813
20,514.40896971,515.08345343
20.1,509.07831411,513.7437633
20.2,503.80289814,512.40755681
20.3,498.58214937,511.07482492
20.4,493.41550133,509.74555859
20.5,488.30239338,508.41974881
